PARAM,AVG_TIME,RUN,FAILED
1,168.59,1,0
1,111.72,2,0
1,153.62,3,0
10,326.20,1,0
10,357.03,2,0
10,271.81,3,0
20,292.99,1,0
20,264.67,2,0
20,263.21,3,0
50,440.36,1,0
50,367.02,2,0
50,370.32,3,0
100,585.97,1,0
100,570.32,2,0
100,581.68,3,0
1000,4490.60,1,0
1000,4876.42,2,0
1000,4280.75,3,0
