PARAM,AVG_TIME,RUN,FAILED
10,385.98,1,0
10,302.47,2,0
10,275.22,3,0
50,7921.57,1,0
50,6350.10,2,0
50,6188.78,3,0
100,14735.53,1,0
100,11888.75,2,0
100,12980.04,3,0
