PARAM,AVG_TIME,RUN,FAILED
1,876.12,1,0
1,777.76,2,0
1,795.57,3,0
10,3961.02,1,0
10,1996.85,2,0
10,1861.93,3,0
20,2603.58,1,0
20,2588.34,2,0
20,2600.78,3,0
50,5694.77,1,0
50,6113.16,2,0
50,3423.41,3,0
100,5690.29,1,0
100,4386.79,2,0
100,4036.64,3,0
1000,21216.39,1,1
1000,13904.05,2,0
1000,12652.79,3,0
